"","very","how","much","all","most","about","really","rather","quite","right","almost","actually","indeed","simply","especially","clearly","nearly","exactly","little","highly","fully","slightly","hardly","completely","relatively","largely","entirely","extremely","fairly","totally","absolutely","partly","widely","pretty","somewhat","perfectly","mostly","essentially","precisely","greatly","approximately","purely","sufficiently","roughly","barely","wholly","thoroughly","strictly","substantially","broadly","differently","fucking","positively","utterly","partially","half","terribly","dead","technically","vaguely","halfway","fundamentally","enormously","distinctly","incredibly"
"political",0,0,1.19955803361056,1.27960771773565,0,1.40008771195063,0,0,0,1.39707962020856,0,0,0.103055633355442,0,0.0444099681316352,0.427344641005982,0,0,0.735482071591351,0.581770049240349,0,0,0,0,0,0.757066457452743,0,0,0,0,0,0.52106612569111,0,0,0,0,0.8351208490915,2.21255453874398,0,0,0,3.48976533001345,0,0,0,0.253899846147976,0,1.31621358574525,0,0.604731098535935,0,0,0,0,0,0,0,0,0,1.35686390057696,0,1.61512347763343,0,1.23852222621007,0
"particular",0.571373354733695,0.376462431742015,0,0,0,2.13851216538216,0,0.444571185388819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327722246600077,0,0,0,0.177528265153194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"full",0,0,0,0.480461710297665,0,0.179751893624269,0,0,0,0.549713641048279,2.15200362076128,0,1.58653943603539,0,0,0,2.8608214961438,0,0,0,0,0,0,1.13047971961137,0,0,0,0,0.0745016855041188,0.0140063760675823,0,0.109810035096952,0,0.231171998506149,0,0,0.853228924525426,0.831287989326397,0,0,0,0,0,0,0,0,0,0,0.668731785180538,0,0,0,0,0,1.9928964217001,4.26158510214647,0,0,0,0,2.18555566401902,0,0,0,0
"far",0,2.48486997909927,0,0,0,0,0,0,0,0,0,0,0.102170972752574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669671029597242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272050976197002,0,0,0,0,0,0,0,0
"late",0.199202532739253,0.0452449539761656,0,0,0,0,0.110557722203102,1.6781019054171,0.702070872194721,0,0,0,0,0,0.351014596527492,0,0,0,2.46431043594912,0,0,0.888967042622036,0,0,1.06514290794867,0,0,0,0.627809665995124,0,0,0,0,0.3154413345671,0.730520773846358,0,0,0,0,0,0.958627443791543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81197681471287,0.98007302846735,0,0,0,0,0,0,0,0
"available",0,0,0,1.80446431593718,0,0.0466352795092585,0,0,0,0,0,0.976991405248774,0.161974318339562,0,0,0,0,0,0,0.722969655531892,0,0,0,0,0,0,0,0,0,0,0,0,3.60509054003447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23860447912381,0,0,0,0,0.593697365381017,0,0,0,0.110200585603857,0,0,0,0,0,0
"little",1.12957981979833,0.443126717931801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32688721484401,0,0,0,0,0,0,0,0,0.431716527500311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"low",0.794022842149224,0,0,0,0,0,0,0.435762753589034,0,0,0,0,0,0,0.680045779592894,0,0,0,0,0,0,0,0,0,2.32041721211047,0,0,1.45596202366771,0.579701351085777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954892584308523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58906151708341
"bad",0.270981293511432,0.918671861706789,0,0,0,0.0616587244114111,1.59388634587299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37532017069282,0,0,0,0,0,0,0,0,0,0,0,0,0.0623830423378283,0,0,0,0,0,0,0,0,1.53817148948954,0.912983647117916,0,0,0,0,0,0,0,0.175833032851065
"main",0,0,0,1.80033008210645,0,0.703084609196473,0,0,0,2.86407056065088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526590791591671,0,0,0,0,0,0,0,0,0.821706439271675,0,0,0.0423416355235689,0,0.645905396822468,0,0,0,0,0,0,0
"major",0,0,0,1.94823866741357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"economic",0,0.255797118680636,0.926894122724637,0.913662111574776,0,1.75756846858372,0,0,0,0.720219197255849,0,0,0.0184611504961807,0,0.47373205044319,0,0,0,1.01052078923434,0,0,0,0,0,0,0.890580757309277,0,0,0,0,0,0.180759808764562,0,0,0,0,0,1.33999628068769,0,0,0,4.00171147392304,0,0,0,0,0,2.15133430020062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827230136497583,0,0,0
"general",0,0,0,0.523658857439855,0.25218449696952,1.21852664141332,0,1.0540836907254,0.374970204585066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392211276616337,0,0,0,0,1.03648011683864,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60868156477861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"real",0.402893931136445,0,0.155962194982048,0.607471310830637,0,1.49984321855285,0,0,0,1.08207650693493,0,0.152118260862476,0.740470337702414,0,0,0,0,0,0.571931635610719,0,0,0,0,0,0,0,0,0,0,0.105552990194234,0,0,0,0,0,0,0,0,0,0,0,0.239784680941578,0,0,0,0,0,0,0,0,0,0.218128958239769,0,0,0,0,0,0,0,0,0,0,0,0,0
"likely",0,0,0,0,1.41109788730775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169476702625096,0,0,1.11761781224023,0,0,0,0,0,0,0,0,0,0,0,0.0856692119635337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"certain",0,0.544080018445159,0,0,0,1.41697423789805,0,0,1.21677196353243,0,3.31135477390876,0,0.339142349515984,0,0,0,1.03160714812497,0.532704131065742,0,0,0,0,0,0,0,0,1.20634350238446,0,2.28341181861837,0,2.77541947109087,0,0,0.720517726152696,0,0.253740656035987,0,0,0.62407813965953,0,0,0,0.0826165082706221,0,0,0,0,0,1.02889071534024,0,0,0,1.8530954816677,0,0,0,0,1.14873955149101,0,0,0,0,0,0,0
"special",0.954899866826131,0,0,0,0,1.00178497586745,0.083002857957287,0.138098241248431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"difficult",0.628339428549893,0.269711244133703,0,0,0,0,0,0.764324056273616,0.36461833369544,0,0,0,0,0,0.519754298788399,0,0,0,0,0,0,0,0,0,0,0,0,1.67194831466278,0,0,0,0,0,0,0.938905362592713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3255216052233,0,1.24932994089762,0,0,0,1.2111413920074,0,0.890723961965164
"international",0,0,0.219347042794207,1.20759591521939,0,1.82057328084451,0,0,0,0.588764407271047,0,0,0.595409244574861,0,0.224273252024802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369618965930184,0,0,0,0,0,3.85707113811259,0,0,0,0,0,0,0,1.02265248714535,0
"clear",0.285183932258129,0,0,0,0,0,0,0,1.37461024271132,0,0,0,0,0,0,0,0,0.662131106550068,0,0,0,0,0,0.336997044050188,0,0,1.66932261009168,0,0.730771737947012,0,1.28754282383903,0,0,0.921843497839756,0,2.22516483713313,3.54175972211386,0,0.350319447717665,0,0,0,1.56600438716489,0,0,0,1.27884348705563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sure",0,0,0,0,0,0,0.807908493272311,0,2.12572869855627,0,0.891881507859694,0,0,0,0,0,0,2.99827739997994,0,0,0,0,0,0.293343227376086,0,0,2.23491466579011,0,0.987035145190034,0.247243071578293,1.91980684821002,0,0,2.65851940897222,0,0,0,0,1.08067899414307,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985881441782344,0,0,0,0,0.0727402823196404,0,0,0,0,0,0,0
"black",0,0,0,0.352844871055967,0,1.10278680686911,0,0,0,0.972560911138195,1.34687756415816,0,0,0,0,0,1.19213930940745,0,2.6450238858456,0,0,0,0,0.305080476001714,0,0.798464850021893,0.19605569522581,0,0,0.0544019324394354,0,0,0,0,0,0,1.63814788798257,0,0,0,0,0,0,0,0.815506324371278,0,0,0,0,0,0,3.09413701464452,0,0,0,1.75415432165923,0,0.882069828345901,0,0,0,0,0,0.0189521733162211,0
"white",0,0,0,0.446348161274128,0,0.352671342506328,0,0,0,0.653731897894076,0.916981188034157,0,0,1.24361869746057,0,0,1.06749433214295,0,2.61579634931115,0,0,0,0,0.219881574363716,0,1.40110084701983,0.273437238769191,0,0,0,0,0,0,0,0,0.201223857706236,2.07278606068474,0.552277432027522,0,0,0,0.117512137999625,0,0,0,0,0,0,0,0,0,2.94275517193301,0,0,0,1.76769894635236,0,2.51601323608259,0,0,0,0,0,0.0972733789425072,0
"common",0,0,0,1.29277902869186,0.890211851331602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508937273268865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"strong",0.921204292144759,0.220839851584701,0,0,0,0,0,0.27248668353419,0.196267743648557,0,0,0,0,0,0.927590779353507,0,0,0,0,0,0,0,0,0,0.597317309073316,0,0,0.733924543693006,0.828353328946839,0,0,0,0,0.331064615954281,0,0,0,0,0,0,0,0,1.931043371222,0,0,0,0,0,0,0,0,0,0,0.641420238193279,0,0,0,0,0.436644881717607,0,0,0.737815699003067,0.518086696867378,0,1.5010812718215
"whole",0,0.126078469726235,0.129376452274702,0.456055463032197,0,1.70948353783906,0,0,0,0.1734466662795,2.16358484097438,0.277890723622325,2.63188011584291,0.326527278975823,1.53370184485921,0,2.20974038682231,0.0593898281109921,0.591087880808945,0,0,0,0.366926042534292,0.902421755332739,0,0,0.583178773974332,0,0,0,0,2.85195887792105,0,0,0,1.69309910431819,1.16386395131448,0.867305560067578,0,0,1.31487423600025,0,0,0,0,0,0,0,1.05793661124743,0,0,0,0,0,0.726979034953988,2.66155513960362,0,0.574724228354747,0,0,0,0,0,0,0
