"","very","how","much","all","most","about","really","rather","quite","right","almost","actually","indeed","simply","especially","clearly","nearly","exactly","little","highly","fully","slightly","hardly","completely","relatively","largely","entirely","extremely","fairly","totally","absolutely","partly","widely","pretty","somewhat","perfectly","mostly","essentially","precisely","greatly","approximately","purely","sufficiently","roughly","barely","wholly","thoroughly","strictly","substantially","broadly","differently","fucking","positively","utterly","partially","half","terribly","dead","technically","vaguely","halfway","fundamentally","enormously","distinctly","incredibly"
"marvellous",-2.1514798390815,0.916800984747144,-1.54689453368273,-1.50615965643434,0.510698882078788,-2.14262307049115,0.421884253197398,1.03892927762145,0.563325893755356,-1.26637642582099,-0.509067542874888,0,2.10864804020927,3.11508202324212,-1.24687129564012,0,0,0,-2.2866699804296,0,0,0,0,-1.86460552030269,0,0,0,-2.29319239293746,0,-0.874443700314719,2.93769724041157,0,0,-1.44390811025493,-1.106275548485,1.33470737214705,0,0,0,0,0,0,-0.458817397320034,0,0,0,0.686420635822205,0,0,0,0,0.619929621741229,1.74417197584739,2.8356136344658,0,0,0,0,0.205421268497612,0,0,0,0,0,-0.752166547856585
"improved",-4.81943212405107,-2.29402328064184,2.91221448068933,-2.21447054425626,0.0924442448210352,-1.24901560393402,-0.416808021057791,-2.48317717419837,-3.38360610398646,-4.39747418990417,-4.18965051459076,1.27623063578098,0.634413990743698,-1.62246219759387,-1.92601919615135,0.844870194632809,-3.6022534145651,-2.27994325034924,-1.70062224310006,-0.54898478733705,-1.41677140835409,2.25545571225689,0.753444585133622,-2.88367273616179,-3.28390633533989,0.00576532500375588,-3.94098491739849,-3.80991081482901,-4.01039771727411,-2.34682716730808,-3.7862716078191,-0.604173875925794,-2.78317507913369,0,0.791154487363459,-4.19946670627849,-2.29044641750104,-0.418458005611773,0,5.01595456693201,0,0,0.0424586090087033,-2.49976843140816,0.31142949357431,-2.60335834412887,-0.98254260931974,-2.57133754724255,3.62414626507801,-1.26671364286749,0,0,-0.427412992223479,0,0.568861966109872,-1.98383679090057,0,0,-0.487531406711657,0,0,0.578798659270519,1.95298494124655,0.571042498558766,-1.89890798626707
"secure",-0.631175967494445,1.00143263321563,-2.52885331422242,-1.98422092184901,0.15635264672268,-0.700121079044271,-1.17481300767776,-2.16908423501151,-1.01092831961127,-2.68803599277391,-2.6938170678082,-0.70473915028794,-0.49337587260276,-0.64460794200185,-2.28674295691151,-2.52785462126457,-2.7634999268687,-1.91658353370583,-1.9145909695941,1.74945544007538,1.61733941233712,-3.85842809379246,-0.842795523223254,1.8099629171918,0.109528362686477,-1.94626010311851,-0.316114617151944,0.0839533007717089,-0.131328722305882,2.09972763056664,1.73021018854055,-2.47520466828761,0,-0.933425168701951,-0.207351393305244,0.67950585210808,-2.41446536966617,-1.86509840381038,0,0,0,0,0.926073084292203,0,-1.85245335047631,-0.697317798754397,-0.354167009819777,-2.21532069207919,-1.73845429212239,-2.61611326887554,0,-4.59979418422642,-0.264121583238768,-0.538395918384218,-0.556467236973149,-2.84805062008377,-0.239456940727889,0,-0.437767518986113,-2.01011510624957,-0.99666324471904,-0.289494051554516,-2.14267145423971,0,-0.137019565207546
"genetic",-3.33290190114233,1.14095467676163,0.938076459470534,0.0932163020356558,-1.2945727308874,2.40447243905457,-3.19313375963883,-1.88779310652755,0,0.323121148970349,-0.0702395491280256,-0.719283024773439,0.87019333602383,-0.486316865082389,0.0537986498967147,-0.0255423586623031,-1.73173575065855,0,0.813930874018719,-1.8379217344639,-2.79437879678606,0,0,-1.85989637356534,0,1.51468293723514,0.0100273605075789,0,0,-1.72325410473756,0,2.26885040690587,0,0,-1.59557886007531,0,-0.0183448254027668,-0.15881428581623,0,0,0,2.61427618167936,-1.54294379652407,0,0,0.320627591249589,0,1.19702877257464,-0.361467342373469,0,0,0,1.03196874898567,0,2.50773866124836,-1.7390620821802,0,0,0,0,0,-0.0983889978547123,0,0,0
"lonely",0.527904901754572,0.738838393931007,-2.36552168587958,-1.11399560532411,-2.33595242590806,-0.540099312617261,0.0381094069594555,1.37074448838566,0.398995759452018,-1.6523223474207,-1.14547686739689,-2.13461347812988,-0.149692566888847,-0.457262015054653,-0.69047693971528,-1.50114495920584,0,-1.14995322056869,1.53354257044972,0,0,-0.663954034702876,-1.20872685000454,-1.72753291896309,-1.92683927880991,0,-2.38637691263966,-0.269441484047562,-0.73145404868204,-1.89404782532289,-1.49396753212495,0,0,0.735990355523396,0.844290191183938,-2.30736288421086,-1.46786274213581,-0.0066654443800493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185813569559044,0,1.46360003466355,0,-1.09032347553261,3.0361366577856,-1.19634817028813,0,0.578504554060307,0,-0.480316491787141,0,0,1.06588768457012
"partial",0.0264196099048598,-0.392230475509885,-0.690464685782872,0.704499392064697,-1.65516869723545,1.07011622269394,-1.05779133321409,1.85458573382255,1.02598266760548,0.108623954389558,-2.67684754041184,-0.091549615358486,0.252261790840396,-1.03817986393293,1.04064558066678,-0.141153346414085,0,-0.870511106591364,0.519420736119237,-0.711405108588683,-1.54870702491747,-0.0763710660536363,0,-1.7871376484572,-3.28965275405967,-1.33551044497951,-1.15205672287841,-0.172622161641743,-1.78760707891157,0.499912528536163,-2.54974706433148,0,0,-0.721024345615475,1.29900223291504,0,-0.338065870850164,0.671208129601067,0,0,0,0,0,0,0,-0.52856006410624,0,0.179461316103969,0,0,0,-0.214263491578169,0,0,0,0.698352360354672,0.302781280647577,0,0,0,0,0,0,0,-1.80160701431168
"weekly",-4.37389024996308,-2.27042685862682,0.216366918517226,0.259666922951022,-0.759130229045481,1.05656753483375,-3.80512325760202,-2.09095866645437,-3.48181528228695,-0.991380579954962,3.90118547484384,-1.73922623984029,0,0,-1.45782353913238,0,1.99389951170542,0,0.329439787811252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16774275614788,0,0.415497052253129,0,0,0,4.58405935931042,0,0,4.45402580494256,0,0,0.167553392013393,0,0,0,0,-2.05432778568174,0,0,0,0.31457314742021,0,0,0,0,0,0,0,0,0
"intensive",0.00832874420231108,0.248832952465914,-0.827319753113984,-0.271194957479793,0.569865683235249,-0.913093878968051,-1.52727480228106,0.365396492237777,0.0121364057067135,0,0,0,-1.61624467281661,0,0.0633635777393383,0,0,0,-2.21497974001578,1.32311212984293,-2.19309602633962,0,0,0,0.270927333685526,-2.18858359503347,0,-0.0264131945371236,1.17995340913649,0,0,0,0,-0.278550183062013,-1.39921235694333,0,-2.02262835772882,0,0,0,0,-1.42730729892381,0.597741841050219,0,0,0,0,0,0,0,0,0,0,0,0,0.797134010005899,0,0,0.999704030302539,0,0,0,0,0,-0.236026086280599
"damp",-0.114769105814055,-1.33214177303213,-1.23482949382353,-1.28753429854148,-3.84827884937292,-1.5658108931655,-1.69694867582145,1.59107770458228,0.148590170695002,0,-1.30108291219072,-0.798814656770313,-0.785378296780174,-0.228315765819198,-0.879470082205759,0,0,0,1.88570302591464,-2.51406681619045,-2.62779493774105,4.55642781608874,-0.291332273444906,-1.5044381762145,-1.61470349962539,0,0,-0.535846382747863,-0.235773361510584,-2.29876875894384,0,-1.00199171142684,0,-0.394424117159996,1.34296365474589,0,-1.2462384939854,-0.83215384305217,0,0,0,0,0.0631783798918547,0,2.9646384500336,0,1.50411624405577,0,0,0,0,-2.32535725025277,0,0,0.315592137220427,-0.747772528787057,-0.377243799079154,0,0,1.29254595661628,0,0,0,1.27541742229734,-0.601820601528276
"casual",0.206934398539383,-0.745887749817911,-0.681366021305632,-0.939144093497673,0.409666563212025,0.136066834449464,-1.19776267608972,1.25400769241275,-0.356968668054525,-1.36580860929839,1.42149320259813,-2.66738847279367,-0.615182768886199,0.833621592265995,-0.742606522696133,-2.38384600648054,-2.06769164322046,-1.15612526221679,-0.293313346390796,-2.74628334667247,0,-1.32271285203565,-0.67199832573257,-0.729113968963857,-0.50809389403439,-0.82741262205742,-1.21143685253302,0.0109609107782459,0.745199431087295,0.0255999310098719,-2.42280726612409,0,0,0.344905565961496,1.42368829618568,-0.611724781705526,0.45259000165987,-0.919276435528254,0,0,0,0.850036262597112,-1.74027693641278,0,0,-1.07176505738472,0,1.23985818066022,0,0,0,-2.05371316755112,0,0.132573993473553,0,-1.1701745379339,-1.3203705607365,-0.744833819793268,0,0,0,0,0,1.02419454574715,-1.0064071380529
"precious",-0.867032651933062,0.429977869416895,-0.43905669726125,-1.78751445938889,1.32558270697195,-1.87137747493309,-1.93166971654625,-1.74052442679004,-2.25084821582421,-2.43652470127073,-3.42417774143215,-2.7249512989189,-0.0105961296187394,0.183114619084891,-0.789331112048377,-2.65450108336228,0,0,-0.0397749543538535,-2.88474474175898,0,-2.29816498956375,0,-4.13301432390721,-4.57359265556531,0,-4.18009918694926,-1.27483383169184,-3.67025154788032,-2.86806351940058,-0.344079100191646,0,0,-3.13899310925063,-1.83130434195056,-1.85246122316007,-3.31825168277056,0,0,0,0,0,-3.10184227414913,0,0,0,0,0,0,0,0,-2.22108727574289,-0.54667453275101,-0.884395679326971,0,-2.81775519202021,-0.910753834256791,0,0,0,0,-1.74713897284459,-1.37783203408454,0,-0.550218473398017
"crazy",-2.21479285322359,0.677717914105862,-0.95702405830387,-0.14618547665382,-2.70581857232424,-0.185747831857563,1.04869880490045,-0.605095915291403,-1.02954136840303,-1.06369974959612,-0.177974488579115,-0.788434791400487,0.0503567605091507,0.332890962258478,-1.43044349161972,-0.942400151684401,-0.167209803966799,-0.495133320473591,2.20067791043165,0,-3.81983908590186,1.59575019994314,-1.69121149879601,1.14402667089327,-4.09267185356839,0,-1.07650589594231,-2.11183146925617,-1.90672353338537,1.65933152205966,2.01417142765708,-1.69973354093442,0,1.28924352201333,0.105461168530503,-1.21965801505619,-2.13099838539589,-2.3507464845826,0,0,0,-2.63960622447959,-2.32081546046219,0,0,-1.45965341194537,-1.52526480335327,0,0,0,0,2.3368985102832,1.07587127673224,1.03109008696165,-1.77737815855962,1.80173605838776,-0.982516333536442,-0.0650178299251973,0,-0.718865718327302,-0.328429007774147,-1.77518722107877,0,0,-1.01526870496381
"changing",-4.48178399978774,0.0790744481964755,-0.642075879166913,-1.46267449917016,-4.42567047795325,2.69362148407509,-0.215991041773301,-1.79782236004698,-4.54180840784787,-1.85386690483332,-2.39177945866517,2.13460230514519,1.49877901245276,3.08152502758448,-1.41738260080361,0.463071083290218,-3.42595874868544,-1.69054477479587,-1.78397626821191,-2.36271141555776,-3.39314283107948,1.12338051942392,0.2494229367299,0.73526436229022,-4.96693534353499,-2.5651363154164,-1.66733287074589,-4.63380443076902,0,-0.117953485568939,-2.80035904333322,-1.56818501551268,-1.88937370217117,-5.10951202048462,-1.88503165290516,0,-1.70426633730928,0.93117047725406,-0.66507906791709,0.398201526858119,0,-2.63527335097551,-3.25182869806865,0,-0.105820715050311,-1.00170961034799,-0.686810240219164,0,1.71462015375312,-1.47132010146518,0,-2.09663639712231,2.10146626960772,-0.689847489650673,-1.05706718622522,-2.19502938425105,0,0,-1.70347805105103,0,0,4.05406745819706,0,-1.35974448328318,-3.28096741099057
"brave",0.665908571482435,0.79146444175387,-2.24770651359248,-1.54364787258141,-2.34578933093005,-0.86714389010888,1.26944099623044,-0.086846935818413,-0.153947706996136,-1.89542662339059,-2.08257832014802,-0.697748626696332,1.06710860599908,-2.42306092867436,-0.739983713427773,0,-2.22868055467416,-1.93944309494957,-0.211735061150946,0,0,-2.54578416706341,-0.900244849063726,-3.57805914150533,-3.55196929637078,0,-3.12911714285388,0.261196061162056,-1.44565345167872,-2.46044377385676,-3.11435283810889,0,0,0.11787167220138,-1.27080423207347,-2.64826774274643,-3.09437680628488,0,0,0,0,0,-0.861181857472216,0,-1.58313919899356,0,-1.021072109428,0,0,0,0,-1.60164522662226,0,-0.971058051951633,-1.40129063220466,0,1.01882506033612,-0.827658922019623,0,0,0,0,1.02820471747457,0,2.16625661163335
"continued",-3.72260932391989,0.215196372111199,1.54174444374531,0.52099657114537,-1.92830127285777,1.56124714183351,-1.38986286273444,0.898830883241735,-2.95575254118165,0.869240492665146,-0.252625168143332,2.3470483759332,2.48131914086105,3.20604467256933,-0.754462497111878,1.30594053009656,-0.841233056988849,0,-0.700443624859018,0,-1.5432581261837,-1.50867728563892,-0.125135753834705,0,0,2.31540911224355,0,0,-1.75763864819145,0,0,0.421823903521141,0,-1.1967005065641,-1.12280395126897,0,0.509479601467118,2.00518166343573,0,0,0,0,0,0,0.0268434010632165,0,0,0,0.286828475585814,1.36757467723561,0,1.46282931932129,0,0,0.709585095490291,3.05689555640341,0,2.05128998538353,0,0,0,0,0,0,0
"delicate",0.535522532909802,-0.691393932807845,-2.19487990443035,-2.62347227860818,0.554943395326988,-2.38688422297638,-1.74433727745129,1.3269563708985,-0.0614243790669787,-2.4474129486653,-0.0814118248514183,-3.23337193826903,-1.46605134677094,-1.58156493400065,0.0122670509397666,0,0,-1.94789376625692,-0.363375269819015,-1.05348735658802,0,-1.04947301579665,-0.803220670476088,-4.14600794358394,-1.13049785006653,0,0,1.01806871741848,-0.661674065829592,0,-3.30525704875955,0,0,-1.22479710977744,1.08186676304249,-1.84164436152008,-2.69128485244737,0,0,0,0,0,-0.461433992075157,0,0,0,0,0,0,0,0,-3.70556281511994,0,-1.49786606225935,0,0,-0.595519774144784,0,-1.29618445880219,0,0,0,-0.810355241221004,-0.745686567672796,0.646078635104914
"vertical",-2.74134237651443,-1.38563925229349,0.846185815520184,0.186310639109268,-1.07562590231638,0.703286673598054,-3.11736619501625,-1.4092664311612,-1.40553314382417,2.53420912100078,2.72781804120474,-0.931275201964957,-1.11265592572111,-1.41718918957633,0.123481790419278,-1.74197831281175,3.80370730312823,1.73394287019922,0.534381445062012,-1.3968931237635,-0.454659911608686,-1.42668902664891,0,0.624348703212391,-1.2667223809517,0.169625374725071,-0.713348238295961,-1.50020458756994,-1.17471093492108,-0.537752385054245,0.071994721635327,-0.835049542275797,0,-2.20703207729776,-0.809731023830037,2.11738492156653,0.88149688924866,2.16024253042196,2.60454227806918,0,2.97775313268742,2.10680537208133,-1.9876995430724,1.78700026494293,0,-0.574622672506398,0,1.43625515798595,3.46510164207613,0,0,0,0,0,-0.450082621430843,1.14030780897325,0,0.582898737901045,0,0,0,0,0,0.227335396358776,0
"assistant",-3.59639123242188,-0.891525407369452,0,1.53393583662093,-1.1476280048104,1.08697516206783,0,-0.620531050414702,0,1.80075426540496,0,0.322945868337815,0,0,1.22927577827894,0,0,0,1.95328451000555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645805381468732,0,0,-0.0761440932581457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615151171548566,0,0,0,0,0,1.65416567241088,0,0,0,0,0,0,0
"excessive",-1.94140934798622,-0.19775817367444,-0.484366604843178,-1.40274748606344,-1.56572930753862,2.11781307443344,-0.987817895674057,1.51375226472436,-0.181977433634581,0,0.657509116364418,-0.930468835703425,1.28544803463266,0.684738179290147,0.244450757984633,3.47981411577372,-1.70688117497439,-1.37325437338323,2.02640022353087,-1.06304903086634,0,1.57979716010466,1.65438494130094,-1.18745547124613,-1.70605165348239,-1.24614560716464,-1.2450968379502,-0.437300230463274,-1.57505873400083,-0.643318745555573,-1.25684082440097,0,0,-0.921917642358935,2.15193834120447,0,-1.74872421245225,0,0,0.750909212385477,0,-0.563507635202416,-0.352152161121375,0,0,0.889535811433097,0,0,0.798031575029561,0,0,-2.41999278874776,0,0.528483328090602,0,0,0.160178391248366,0,0,0,0,0,0.448453516050481,0,-0.364435820680371
