subject, stim id, adj, adj class, mod, mod class, rating
1,626,18,1,5,3,7
1,639,16,3,1,0,6
1,31,9,0,13,2,6
1,8,18,1,8,1,9
1,509,31,2,7,1,7
1,109,35,3,3,2,4
1,36,41,2,7,1,8
1,563,20,0,11,0,8
1,613,2,1,4,3,1
1,614,24,3,0,0,6
1,48,18,1,10,3,7
1,467,48,0,13,2,5
1,466,44,3,13,2,3
1,488,30,3,1,0,9
1,655,2,1,6,0,8
1,77,4,2,9,1,6
1,304,46,3,9,1,9
1,388,6,2,6,0,3
1,69,13,1,3,2,7
1,55,4,2,7,1,8
1,659,18,1,1,0,9
1,335,13,1,5,3,8
1,299,7,1,13,2,3
1,18,13,1,11,0,9
1,329,37,3,4,3,1
1,135,27,3,11,0,3
1,13,16,3,9,1,7
1,393,39,3,1,0,5
1,269,47,0,3,2,3
1,311,22,2,4,3,1
1,145,13,1,12,1,9
1,473,21,1,9,1,7
1,400,27,3,8,1,9
1,333,41,2,5,3,5
1,30,35,3,12,1,9
1,554,18,1,3,2,3
1,588,11,3,2,1,9
1,248,2,1,11,0,7
1,455,45,2,13,2,3
1,234,1,1,12,1,8
1,549,11,3,0,0,3
1,684,29,0,1,0,8
1,127,39,3,4,3,1
1,28,31,2,0,0,5
1,57,10,2,13,2,3
1,635,40,3,7,1,7
1,533,19,3,10,3,7
1,669,15,3,12,1,9
1,496,36,3,9,1,7
1,595,21,1,1,0,5
1,173,28,0,10,3,5
1,149,0,0,13,2,3
1,96,43,0,13,2,3
1,557,24,3,8,1,9
1,71,41,2,13,2,2
1,442,35,3,11,0,3
1,226,18,1,0,0,7
1,559,7,1,3,2,3
1,110,44,3,11,0,7
1,464,7,1,11,0,7
1,556,7,1,8,1,8
1,678,42,3,9,1,9
1,606,3,2,9,1,1
1,60,31,2,10,3,5
1,243,16,3,2,1,9
1,366,42,3,8,1,9
1,159,36,3,8,1,9
1,460,26,3,5,3,3
1,50,37,3,0,0,2
1,217,17,3,4,3,1
1,658,34,1,13,2,2
1,494,27,3,6,0,5
2,681,18,1,13,2,5
2,414,16,3,13,2,4
2,193,42,3,6,0,2
2,415,38,1,4,3,3
2,47,34,1,6,0,9
2,205,46,3,4,3,1
2,431,46,3,6,0,6
2,327,30,3,5,3,7
2,308,17,3,11,0,5
2,665,16,3,8,1,8
2,587,11,3,11,0,6
2,645,32,1,2,1,7
2,590,32,1,12,1,8
2,236,25,3,3,2,6
2,119,24,3,4,3,3
2,463,47,0,10,3,5
2,492,27,3,5,3,6
2,439,20,0,13,2,5
2,51,34,1,2,1,8
2,139,7,1,9,1,9
2,76,41,2,11,0,7
2,277,17,3,10,3,9
2,653,33,3,7,1,9
2,133,19,3,1,0,9
2,122,23,2,8,1,9
2,272,28,0,13,2,5
2,504,23,2,0,0,8
2,354,19,3,2,1,8
2,91,48,0,10,3,7
2,378,41,2,8,1,9
2,328,37,3,11,0,7
2,260,22,2,10,3,6
2,575,41,2,10,3,8
2,310,45,2,2,1,9
2,547,14,0,2,1,6
2,596,9,0,3,2,6
2,231,15,3,9,1,9
2,221,0,0,10,3,8
2,421,32,1,0,0,7
2,352,18,1,7,1,8
2,487,19,3,0,0,7
2,175,4,2,10,3,8
2,360,48,0,12,1,7
2,381,48,0,0,0,9
2,634,37,3,5,3,4
2,79,11,3,7,1,9
2,43,24,3,5,3,3
2,440,7,1,2,1,9
2,262,1,1,10,3,9
2,404,39,3,11,0,9
2,24,4,2,13,2,6
2,408,38,1,7,1,9
2,382,15,3,10,3,9
2,456,22,2,12,1,9
2,499,35,3,0,0,6
2,241,9,0,11,0,5
2,562,6,2,12,1,8
2,419,10,2,8,1,9
2,171,21,1,3,2,3
2,161,6,2,1,0,4
2,583,32,1,10,3,6
2,632,10,2,9,1,9
2,75,22,2,13,2,4
2,323,8,1,3,2,6
2,316,4,2,2,1,9
2,204,37,3,10,3,8
2,61,15,3,1,0,4
2,53,10,2,3,2,2
2,130,1,1,5,3,8
2,322,48,0,11,0,8
2,74,38,1,13,2,5
2,604,34,1,9,1,8
2,313,47,0,13,2,6
2,631,27,3,10,3,9
2,558,46,3,8,1,9
2,476,25,3,9,1,9
2,574,48,0,4,3,4
2,371,30,3,0,0,9
2,682,36,3,1,0,3
2,548,36,3,13,2,5
2,220,21,1,10,3,8
2,525,46,3,1,0,4
2,88,48,0,1,0,8
2,326,46,3,7,1,8
2,646,21,1,2,1,9
2,482,25,3,11,0,9
2,202,17,3,12,1,9
2,305,40,3,2,1,9
2,270,2,1,9,1,1
2,203,13,1,4,3,2
2,10,33,3,11,0,9
2,462,3,2,11,0,8
2,265,19,3,5,3,6
2,244,34,1,7,1,8
2,519,25,3,0,0,7
2,571,19,3,9,1,7
2,27,30,3,4,3,6
2,5,3,2,8,1,8
3,306,9,0,7,1,7
3,679,43,0,3,2,6
3,352,18,1,7,1,9
3,487,19,3,0,0,8
3,136,38,1,11,0,9
3,233,4,2,5,3,9
3,508,3,2,0,0,9
3,117,45,2,5,3,8
3,593,34,1,3,2,4
3,210,31,2,12,1,9
3,332,16,3,10,3,9
3,375,32,1,1,0,9
3,182,11,3,13,2,2
3,157,23,2,7,1,9
3,556,7,1,8,1,9
3,139,7,1,9,1,9
3,41,40,3,8,1,9
3,67,31,2,8,1,9
3,589,13,1,2,1,8
3,82,24,3,7,1,8
3,339,31,2,11,0,7
3,322,48,0,11,0,7
3,6,25,3,5,3,9
3,1,20,0,4,3,1
3,286,3,2,2,1,8
3,218,10,2,10,3,9
3,453,30,3,6,0,8
3,629,0,0,0,0,9
3,33,18,1,4,3,1
3,559,7,1,3,2,9
3,376,33,3,12,1,9
3,380,15,3,0,0,8
3,537,10,2,6,0,9
3,320,23,2,6,0,6
3,288,11,3,1,0,7
3,585,30,3,11,0,9
3,95,24,3,10,3,9
3,526,9,0,9,1,8
3,517,36,3,5,3,3
3,212,38,1,8,1,9
3,405,10,2,2,1,9
3,544,41,2,2,1,8
3,675,10,2,1,0,9
3,570,2,1,12,1,2
3,177,8,1,10,3,9
3,412,46,3,3,2,1
3,228,23,2,13,2,1
3,591,45,2,11,0,9
3,451,22,2,0,0,6
3,669,15,3,12,1,9
3,384,6,2,0,0,7
3,225,34,1,4,3,6
3,636,25,3,7,1,9
3,53,10,2,3,2,2
3,2,7,1,1,0,9
3,598,6,2,5,3,6
3,500,46,3,12,1,9
3,547,14,0,2,1,3
3,226,18,1,0,0,9
3,8,18,1,8,1,9
3,52,0,0,1,0,9
3,373,45,2,7,1,9
3,416,8,1,1,0,9
3,186,19,3,11,0,9
3,240,39,3,7,1,9
3,229,38,1,9,1,9
3,396,33,3,13,2,2
3,224,27,3,2,1,9
3,167,47,0,6,0,8
3,387,26,3,2,1,9
3,281,37,3,3,2,1
3,509,31,2,7,1,3
3,631,27,3,10,3,9
3,413,32,1,13,2,1
3,345,43,0,8,1,9
3,92,45,2,6,0,6
3,485,32,1,7,1,9
3,505,5,3,13,2,1
3,271,17,3,9,1,9
3,141,46,3,2,1,9
3,625,20,0,0,0,9
3,330,13,1,1,0,9
3,192,43,0,4,3,2
3,138,22,2,2,1,9
3,303,6,2,8,1,9
3,419,10,2,8,1,9
3,458,0,0,4,3,7
3,401,19,3,4,3,1
3,344,29,0,13,2,1
3,38,45,2,4,3,2
3,203,13,1,4,3,2
3,311,22,2,4,3,2
3,111,45,2,10,3,8
3,289,48,0,8,1,9
3,84,47,0,5,3,9
3,81,42,3,13,2,1
3,456,22,2,12,1,9
3,79,11,3,7,1,9
4,663,24,3,6,0,5
4,321,33,3,6,0,7
4,16,26,3,7,1,9
4,447,11,3,12,1,9
4,309,36,3,0,0,6
4,225,34,1,4,3,2
4,102,27,3,7,1,8
4,33,18,1,4,3,2
4,411,47,0,8,1,7
4,680,28,0,11,0,8
4,155,24,3,1,0,4
4,446,36,3,10,3,7
4,263,3,2,6,0,5
4,507,12,2,13,2,3
4,1,20,0,4,3,2
4,257,37,3,7,1,9
4,123,48,0,3,2,8
4,617,29,0,7,1,4
4,577,14,0,13,2,1
4,282,17,3,6,0,3
4,172,39,3,13,2,2
4,627,20,0,5,3,9
4,591,45,2,11,0,9
4,38,45,2,4,3,2
4,458,0,0,4,3,6
4,434,1,1,11,0,9
4,608,23,2,5,3,9
4,522,39,3,8,1,9
4,432,12,2,1,0,9
4,651,25,3,1,0,7
4,594,9,0,10,3,4
4,529,12,2,2,1,9
4,291,2,1,8,1,7
4,338,12,2,12,1,9
4,357,23,2,3,2,6
4,516,45,2,8,1,8
4,429,40,3,6,0,7
4,165,12,2,6,0,3
4,677,19,3,12,1,9
4,44,39,3,2,1,9
4,385,2,1,7,1,5
4,11,36,3,3,2,1
4,451,22,2,0,0,7
4,643,20,0,8,1,9
4,46,30,3,8,1,9
4,214,42,3,0,0,9
4,477,48,0,9,1,8
4,612,2,1,0,0,4
4,647,16,3,7,1,9
4,560,1,1,7,1,9
4,523,29,0,11,0,4
4,103,20,0,9,1,8
4,465,33,3,10,3,7
4,373,45,2,7,1,6
4,598,6,2,5,3,3
4,592,45,2,0,0,2
4,147,46,3,0,0,5
4,350,5,3,12,1,9
4,54,2,1,1,0,9
4,245,42,3,11,0,9
4,412,46,3,3,2,2
4,150,10,2,4,3,4
4,229,38,1,9,1,5
4,685,17,3,2,1,9
4,503,14,0,10,3,1
4,601,18,1,12,1,9
4,232,27,3,1,0,3
4,540,8,1,0,0,7
4,59,47,0,4,3,3
4,40,43,0,2,1,9
4,63,1,1,1,0,9
4,162,14,0,11,0,8
4,423,22,2,7,1,7
4,535,12,2,9,1,9
4,564,42,3,4,3,3
4,660,36,3,11,0,2
4,450,17,3,1,0,7
4,545,38,1,0,0,2
4,177,8,1,10,3,3
4,312,39,3,9,1,8
4,405,10,2,2,1,9
4,459,40,3,9,1,7
4,56,20,0,7,1,8
4,182,11,3,13,2,3
4,355,10,2,5,3,3
4,215,8,1,7,1,8
4,567,44,3,0,0,3
4,306,9,0,7,1,3
4,457,42,3,1,0,9
4,454,3,2,5,3,5
4,250,42,3,7,1,9
4,568,13,1,6,0,5
4,386,14,0,9,1,6
4,64,35,3,6,0,2
4,300,8,1,12,1,9
4,668,37,3,6,0,4
4,607,8,1,11,0,5
4,158,12,2,10,3,8
5,182,11,3,13,2,2
5,300,8,1,12,1,9
5,140,1,1,2,1,8
5,498,12,2,5,3,3
5,403,31,2,3,2,7
5,313,47,0,13,2,2
5,450,17,3,1,0,4
5,595,21,1,1,0,9
5,546,27,3,0,0,2
5,163,35,3,8,1,7
5,311,22,2,4,3,3
5,445,25,3,2,1,7
5,173,28,0,10,3,5
5,31,9,0,13,2,6
5,563,20,0,11,0,3
5,289,48,0,8,1,3
5,547,14,0,2,1,2
5,465,33,3,10,3,7
5,429,40,3,6,0,2
5,605,21,1,7,1,8
5,85,38,1,3,2,7
5,347,48,0,6,0,9
5,522,39,3,8,1,7
5,604,34,1,9,1,8
5,388,6,2,6,0,3
5,126,35,3,9,1,8
5,646,21,1,2,1,3
5,95,24,3,10,3,3
5,43,24,3,5,3,6
5,343,17,3,13,2,3
5,457,42,3,1,0,2
5,159,36,3,8,1,8
5,10,33,3,11,0,7
5,543,37,3,13,2,3
5,495,26,3,11,0,3
5,466,44,3,13,2,4
5,80,28,0,12,1,6
5,342,8,1,8,1,8
5,575,41,2,10,3,4
5,79,11,3,7,1,8
5,52,0,0,1,0,7
5,530,22,2,9,1,7
5,432,12,2,1,0,7
5,365,5,3,3,2,3
5,26,8,1,4,3,2
5,463,47,0,10,3,5
5,15,38,1,6,0,6
5,418,7,1,7,1,8
5,374,32,1,3,2,3
5,371,30,3,0,0,7
5,514,33,3,3,2,6
5,197,16,3,0,0,3
5,661,20,0,10,3,3
5,281,37,3,3,2,3
5,641,16,3,6,0,2
5,21,46,3,13,2,3
5,456,22,2,12,1,3
5,492,27,3,5,3,4
5,352,18,1,7,1,8
5,242,5,3,11,0,3
5,397,48,0,7,1,6
5,358,32,1,9,1,6
5,481,23,2,9,1,6
5,501,39,3,3,2,2
5,267,3,2,7,1,7
5,107,47,0,9,1,6
5,30,35,3,12,1,7
5,670,6,2,7,1,8
5,664,26,3,0,0,4
5,20,28,0,3,2,4
5,114,42,3,10,3,3
5,387,26,3,2,1,7
5,356,8,1,6,0,7
5,653,33,3,7,1,8
5,348,43,0,9,1,7
5,5,3,2,8,1,7
5,186,19,3,11,0,6
5,627,20,0,5,3,2
5,636,25,3,7,1,9
5,489,40,3,10,3,3
5,467,48,0,13,2,3
5,622,20,0,3,2,8
5,368,12,2,0,0,4
5,210,31,2,12,1,8
5,585,30,3,11,0,8
5,578,38,1,12,1,4
5,299,7,1,13,2,2
5,82,24,3,7,1,6
5,683,0,0,8,1,8
5,417,20,0,1,0,4
5,42,25,3,6,0,7
5,628,32,1,4,3,2
5,16,26,3,7,1,6
5,548,36,3,13,2,3
5,45,42,3,5,3,3
5,375,32,1,1,0,3
5,402,24,3,3,2,2
5,654,41,2,6,0,2
6,455,45,2,13,2,1
6,263,3,2,6,0,8
6,283,35,3,2,1,8
6,413,32,1,13,2,1
6,245,42,3,11,0,9
6,492,27,3,5,3,1
6,435,28,0,7,1,9
6,321,33,3,6,0,9
6,567,44,3,0,0,5
6,44,39,3,2,1,9
6,506,2,1,13,2,1
6,158,12,2,10,3,9
6,675,10,2,1,0,9
6,100,29,0,12,1,3
6,613,2,1,4,3,3
6,508,3,2,0,0,9
6,229,38,1,9,1,7
6,531,29,0,5,3,8
6,520,39,3,6,0,1
6,594,9,0,10,3,8
6,51,34,1,2,1,7
6,646,21,1,2,1,3
6,510,23,2,4,3,1
6,419,10,2,8,1,8
6,515,28,0,6,0,3
6,199,1,1,6,0,8
6,128,4,2,6,0,9
6,111,45,2,10,3,7
6,218,10,2,10,3,8
6,87,19,3,13,2,3
6,171,21,1,3,2,1
6,526,9,0,9,1,3
6,110,44,3,11,0,7
6,672,26,3,10,3,9
6,431,46,3,6,0,3
6,196,17,3,5,3,5
6,327,30,3,5,3,7
6,13,16,3,9,1,9
6,108,36,3,4,3,1
6,231,15,3,9,1,9
6,593,34,1,3,2,2
6,472,40,3,3,2,1
6,300,8,1,12,1,9
6,448,15,3,11,0,2
6,502,29,0,0,0,4
6,21,46,3,13,2,1
6,198,2,1,5,3,6
6,581,12,2,11,0,7
6,94,26,3,9,1,9
6,337,33,3,5,3,9
6,559,7,1,3,2,5
6,538,43,0,12,1,9
6,179,22,2,6,0,2
6,681,18,1,13,2,1
6,624,35,3,7,1,8
6,660,36,3,11,0,1
6,433,42,3,2,1,9
6,212,38,1,8,1,8
6,496,36,3,9,1,9
6,338,12,2,12,1,9
6,621,17,3,0,0,7
6,444,43,0,0,0,9
6,244,34,1,7,1,9
6,666,44,3,7,1,9
6,483,30,3,7,1,9
6,40,43,0,2,1,9
6,583,32,1,10,3,8
6,168,4,2,11,0,9
6,49,3,2,12,1,9
6,156,34,1,12,1,9
6,241,9,0,11,0,7
6,262,1,1,10,3,9
6,193,42,3,6,0,1
6,127,39,3,4,3,1
6,107,47,0,9,1,4
6,388,6,2,6,0,1
6,194,15,3,13,2,1
6,348,43,0,9,1,8
6,270,2,1,9,1,1
6,1,20,0,4,3,2
6,181,0,0,11,0,8
6,466,44,3,13,2,1
6,473,21,1,9,1,9
6,81,42,3,13,2,1
6,57,10,2,13,2,1
6,403,31,2,3,2,1
6,286,3,2,2,1,9
6,84,47,0,5,3,8
6,121,16,3,3,2,1
6,584,33,3,1,0,9
6,407,33,3,2,1,9
6,452,34,1,1,0,9
6,314,12,2,4,3,1
6,536,21,1,0,0,9
6,59,47,0,4,3,1
6,67,31,2,8,1,9
6,183,32,1,5,3,8
6,429,40,3,6,0,1
7,136,38,1,11,0,9
7,356,8,1,6,0,9
7,48,18,1,10,3,9
7,600,29,0,3,2,9
7,152,8,1,13,2,9
7,574,48,0,4,3,1
7,150,10,2,4,3,1
7,160,7,1,4,3,2
7,246,39,3,10,3,9
7,474,27,3,3,2,7
7,575,41,2,10,3,9
7,180,7,1,0,0,9
7,247,21,1,4,3,1
7,334,13,1,13,2,9
7,50,37,3,0,0,9
7,167,47,0,6,0,9
7,581,12,2,11,0,9
7,450,17,3,1,0,9
7,354,19,3,2,1,9
7,77,4,2,9,1,9
7,605,21,1,7,1,9
7,528,7,1,10,3,8
7,330,13,1,1,0,9
7,206,27,3,9,1,9
7,533,19,3,10,3,9
7,346,12,2,8,1,9
7,208,15,3,5,3,7
7,203,13,1,4,3,2
7,369,3,2,4,3,5
7,462,3,2,11,0,9
7,254,10,2,7,1,9
7,362,43,0,5,3,5
7,516,45,2,8,1,9
7,275,43,0,7,1,7
7,403,31,2,3,2,5
7,399,31,2,9,1,9
7,315,25,3,12,1,9
7,615,24,3,13,2,3
7,358,32,1,9,1,8
7,507,12,2,13,2,2
7,508,3,2,0,0,9
7,90,0,0,3,2,9
7,608,23,2,5,3,8
7,319,31,2,1,0,9
7,112,44,3,9,1,9
7,290,17,3,7,1,9
7,370,9,0,0,0,9
7,500,46,3,12,1,9
7,541,31,2,13,2,5
7,134,20,0,12,1,9
7,53,10,2,3,2,8
7,168,4,2,11,0,9
7,312,39,3,9,1,9
7,592,45,2,0,0,9
7,248,2,1,11,0,9
7,126,35,3,9,1,9
7,441,1,1,13,2,8
7,497,19,3,8,1,9
7,47,34,1,6,0,9
7,658,34,1,13,2,5
7,283,35,3,2,1,9
7,179,22,2,6,0,9
7,564,42,3,4,3,2
7,553,5,3,8,1,9
7,357,23,2,3,2,8
7,241,9,0,11,0,9
7,613,2,1,4,3,2
7,93,21,1,11,0,9
7,153,28,0,8,1,9
7,17,19,3,3,2,9
7,131,18,1,11,0,9
7,416,8,1,1,0,9
7,675,10,2,1,0,9
7,628,32,1,4,3,1
7,624,35,3,7,1,9
7,446,36,3,10,3,8
7,144,25,3,13,2,6
7,629,0,0,0,0,6
7,37,14,0,3,2,9
7,352,18,1,7,1,9
7,473,21,1,9,1,9
7,232,27,3,1,0,8
7,499,35,3,0,0,9
7,236,25,3,3,2,9
7,646,21,1,2,1,9
7,242,5,3,11,0,7
7,434,1,1,11,0,9
7,451,22,2,0,0,9
7,70,30,3,2,1,9
7,51,34,1,2,1,9
7,146,14,0,5,3,9
7,484,39,3,5,3,8
7,435,28,0,7,1,9
7,92,45,2,6,0,9
7,461,37,3,8,1,9
7,454,3,2,5,3,9
7,115,13,1,0,0,9
7,237,29,0,10,3,9
8,246,39,3,10,3,9
8,379,10,2,0,0,9
8,617,29,0,7,1,9
8,203,13,1,4,3,3
8,622,20,0,3,2,9
8,593,34,1,3,2,8
8,682,36,3,1,0,7
8,495,26,3,11,0,9
8,614,24,3,0,0,9
8,252,44,3,6,0,8
8,82,24,3,7,1,9
8,217,17,3,4,3,2
8,419,10,2,8,1,9
8,284,2,1,3,2,9
8,630,28,0,5,3,9
8,560,1,1,7,1,9
8,255,10,2,11,0,9
8,95,24,3,10,3,8
8,60,31,2,10,3,8
8,451,22,2,0,0,9
8,146,14,0,5,3,9
8,667,30,3,3,2,7
8,623,14,0,4,3,2
8,6,25,3,5,3,8
8,491,6,2,13,2,3
8,52,0,0,1,0,9
8,549,11,3,0,0,6
8,482,25,3,11,0,9
8,223,11,3,3,2,9
8,526,9,0,9,1,7
8,493,15,3,2,1,9
8,325,13,1,9,1,9
8,635,40,3,7,1,9
8,555,44,3,3,2,4
8,658,34,1,13,2,6
8,62,21,1,8,1,9
8,435,28,0,7,1,9
8,285,35,3,13,2,7
8,530,22,2,9,1,9
8,475,0,0,6,0,9
8,2,7,1,1,0,9
8,16,26,3,7,1,9
8,607,8,1,11,0,9
8,272,28,0,13,2,5
8,294,47,0,1,0,9
8,480,38,1,2,1,9
8,641,16,3,6,0,8
8,17,19,3,3,2,5
8,542,1,1,8,1,9
8,20,28,0,3,2,5
8,373,45,2,7,1,9
8,537,10,2,6,0,7
8,681,18,1,13,2,6
8,478,1,1,4,3,2
8,22,41,2,4,3,8
8,663,24,3,6,0,4
8,506,2,1,13,2,3
8,401,19,3,4,3,2
8,522,39,3,8,1,9
8,41,40,3,8,1,9
8,273,11,3,8,1,9
8,520,39,3,6,0,9
8,447,11,3,12,1,9
8,32,13,1,10,3,9
8,189,13,1,7,1,9
8,238,36,3,2,1,9
8,407,33,3,2,1,9
8,154,38,1,10,3,6
8,166,6,2,4,3,2
8,276,22,2,8,1,8
8,109,35,3,3,2,3
8,414,16,3,13,2,3
8,365,5,3,3,2,2
8,499,35,3,0,0,9
8,371,30,3,0,0,9
8,647,16,3,7,1,9
8,205,46,3,4,3,3
8,277,17,3,10,3,9
8,538,43,0,12,1,9
8,684,29,0,1,0,9
8,74,38,1,13,2,3
8,44,39,3,2,1,9
8,594,9,0,10,3,9
8,268,24,3,12,1,9
8,98,25,3,8,1,9
8,413,32,1,13,2,3
8,332,16,3,10,3,6
8,229,38,1,9,1,9
8,131,18,1,11,0,9
8,391,3,2,10,3,9
8,497,19,3,8,1,9
8,570,2,1,12,1,4
8,73,35,3,4,3,2
8,156,34,1,12,1,9
8,376,33,3,12,1,9
8,197,16,3,0,0,8
8,48,18,1,10,3,9
8,176,35,3,1,0,9
9,221,0,0,10,3,9
9,48,18,1,10,3,1
9,11,36,3,3,2,1
9,110,44,3,11,0,9
9,196,17,3,5,3,2
9,558,46,3,8,1,9
9,527,14,0,12,1,3
9,171,21,1,3,2,3
9,493,15,3,2,1,9
9,297,2,1,10,3,6
9,277,17,3,10,3,8
9,194,15,3,13,2,1
9,394,24,3,9,1,9
9,139,7,1,9,1,9
9,613,2,1,4,3,1
9,416,8,1,1,0,9
9,98,25,3,8,1,9
9,505,5,3,13,2,1
9,212,38,1,8,1,5
9,62,21,1,8,1,9
9,404,39,3,11,0,9
9,588,11,3,2,1,7
9,252,44,3,6,0,7
9,105,31,2,5,3,8
9,607,8,1,11,0,9
9,195,22,2,5,3,8
9,585,30,3,11,0,9
9,501,39,3,3,2,4
9,214,42,3,0,0,9
9,264,18,1,2,1,8
9,357,23,2,3,2,3
9,592,45,2,0,0,8
9,262,1,1,10,3,9
9,374,32,1,3,2,5
9,598,6,2,5,3,9
9,434,1,1,11,0,9
9,610,6,2,3,2,4
9,463,47,0,10,3,9
9,298,16,3,11,0,8
9,335,13,1,5,3,9
9,16,26,3,7,1,2
9,333,41,2,5,3,3
9,183,32,1,5,3,4
9,244,34,1,7,1,4
9,670,6,2,7,1,3
9,80,28,0,12,1,9
9,265,19,3,5,3,9
9,466,44,3,13,2,1
9,97,0,0,7,1,1
9,251,11,3,10,3,7
9,353,26,3,6,0,7
9,400,27,3,8,1,9
9,447,11,3,12,1,9
9,568,13,1,6,0,9
9,65,9,0,4,3,1
9,4,32,1,6,0,9
9,638,41,2,0,0,5
9,677,19,3,12,1,9
9,543,37,3,13,2,1
9,441,1,1,13,2,1
9,288,11,3,1,0,1
9,165,12,2,6,0,9
9,343,17,3,13,2,1
9,250,42,3,7,1,3
9,64,35,3,6,0,3
9,6,25,3,5,3,9
9,499,35,3,0,0,6
9,369,3,2,4,3,1
9,576,38,1,5,3,9
9,217,17,3,4,3,1
9,36,41,2,7,1,4
9,173,28,0,10,3,9
9,546,27,3,0,0,5
9,199,1,1,6,0,9
9,609,26,3,8,1,9
9,311,22,2,4,3,1
9,567,44,3,0,0,5
9,649,21,1,12,1,9
9,21,46,3,13,2,1
9,229,38,1,9,1,9
9,132,21,1,6,0,9
9,522,39,3,8,1,9
9,276,22,2,8,1,5
9,475,0,0,6,0,9
9,398,11,3,5,3,1
9,372,26,3,13,2,1
9,473,21,1,9,1,9
9,603,27,3,13,2,1
9,411,47,0,8,1,5
9,74,38,1,13,2,1
9,615,24,3,13,2,1
9,13,16,3,9,1,9
9,18,13,1,11,0,9
9,116,7,1,5,3,9
9,464,7,1,11,0,9
9,242,5,3,11,0,3
9,624,35,3,7,1,4
9,256,7,1,6,0,9
10,445,25,3,2,1,9
10,69,13,1,3,2,5
10,282,17,3,6,0,6
10,243,16,3,2,1,9
10,464,7,1,11,0,7
10,455,45,2,13,2,1
10,0,31,2,2,1,6
10,409,6,2,2,1,9
10,527,14,0,12,1,7
10,662,35,3,5,3,7
10,417,20,0,1,0,9
10,424,28,0,4,3,1
10,68,20,0,2,1,9
10,171,21,1,3,2,5
10,436,9,0,1,0,9
10,299,7,1,13,2,2
